Day,Cash On Hand
1,3487400
2,3279480
3,3036210
4,2677240
5,505810
6,554023
7,604181
8,251342
9,366299
10,600789
11,962780
12,324864
13,375499
14,186123
15,600855
16,304756
17,79807
18,369573
19,306056
20,572823
21,1110485
22,1217403
23,1874434
24,1618776
25,1009758
26,537109
27,673603
28,774942
29,1027887
30,1329481
31,1358212
32,1457266
33,1548661
34,1213786
35,1961495
36,1940509
37,1978333
38,3399222
39,3431124
40,2958681
41,3394591
42,2284077
43,2046135
44,1469882
45,2131108
46,2448048
47,2548652
48,2787753
49,2870187
50,2623820
51,3311609
52,3362343
53,3088294
54,3131840
55,3149737
56,3372817
57,3855168
58,3993852
59,3939543
60,4723228
61,4722825
62,4703351
63,4911141
64,5094332
65,5090249
66,5132222
67,5431955
68,5384156
69,5551824
70,5871549
71,5911196
72,5378409
73,5337109
74,5695349
75,5836303
76,6555162
77,5506379
78,6040752
79,5329866
80,5347827
81,5456286
82,5490669
83,5514469
84,5058692
85,4788411
86,5262940
87,6232309
88,6856476
89,6676498
90,6503524
