[HIGHEST OVERHEADS] Salary Expense: 31.29%
[CASH DEFICIT] Day: 2, AMOUNT: USD207920
[CASH DEFICIT] Day: 3, AMOUNT: USD243270
[CASH DEFICIT] Day: 4, AMOUNT: USD358970
[CASH DEFICIT] Day: 5, AMOUNT: USD2171430
[CASH DEFICIT] Day: 8, AMOUNT: USD352839
[CASH DEFICIT] Day: 12, AMOUNT: USD637916
[CASH DEFICIT] Day: 14, AMOUNT: USD189376
[CASH DEFICIT] Day: 16, AMOUNT: USD296099
[CASH DEFICIT] Day: 17, AMOUNT: USD224949
[CASH DEFICIT] Day: 19, AMOUNT: USD63517
[CASH DEFICIT] Day: 24, AMOUNT: USD255658
[CASH DEFICIT] Day: 25, AMOUNT: USD609018
[CASH DEFICIT] Day: 26, AMOUNT: USD472649
[CASH DEFICIT] Day: 34, AMOUNT: USD334875
[CASH DEFICIT] Day: 36, AMOUNT: USD20986
[CASH DEFICIT] Day: 40, AMOUNT: USD472443
[CASH DEFICIT] Day: 42, AMOUNT: USD1110514
[CASH DEFICIT] Day: 43, AMOUNT: USD237942
[CASH DEFICIT] Day: 44, AMOUNT: USD576253
[CASH DEFICIT] Day: 50, AMOUNT: USD246367
[CASH DEFICIT] Day: 53, AMOUNT: USD274049
[CASH DEFICIT] Day: 59, AMOUNT: USD54309
[CASH DEFICIT] Day: 61, AMOUNT: USD403
[CASH DEFICIT] Day: 62, AMOUNT: USD19474
[CASH DEFICIT] Day: 65, AMOUNT: USD4083
[CASH DEFICIT] Day: 68, AMOUNT: USD47799
[CASH DEFICIT] Day: 72, AMOUNT: USD532787
[CASH DEFICIT] Day: 73, AMOUNT: USD41300
[CASH DEFICIT] Day: 77, AMOUNT: USD1048783
[CASH DEFICIT] Day: 79, AMOUNT: USD710886
[CASH DEFICIT] Day: 84, AMOUNT: USD455777
[CASH DEFICIT] Day: 85, AMOUNT: USD270281
[CASH DEFICIT] Day: 89, AMOUNT: USD179978
[CASH DEFICIT] Day: 90, AMOUNT: USD172974
[PROFIT DEFICIT] Day; 2, AMOUNT: USD207920
[PROFIT DEFICIT] Day; 3, AMOUNT: USD46603
[PROFIT DEFICIT] Day; 4, AMOUNT: USD67303
[PROFIT DEFICIT] Day; 5, AMOUNT: USD15146
[PROFIT DEFICIT] Day; 6, AMOUNT: USD8615
[PROFIT DEFICIT] Day; 7, AMOUNT: USD5607
[PROFIT DEFICIT] Day; 8, AMOUNT: USD53938
[PROFIT DEFICIT] Day; 9, AMOUNT: USD43270
[PROFIT DEFICIT] Day; 15, AMOUNT: USD28699
[PROFIT DEFICIT] Day; 16, AMOUNT: USD7192
[PROFIT DEFICIT] Day; 17, AMOUNT: USD88695
[PROFIT DEFICIT] Day; 18, AMOUNT: USD112307
[PROFIT DEFICIT] Day; 25, AMOUNT: USD10866
[PROFIT DEFICIT] Day; 31, AMOUNT: USD34411
[PROFIT DEFICIT] Day; 40, AMOUNT: USD38764
[PROFIT DEFICIT] Day; 42, AMOUNT: USD14316
[PROFIT DEFICIT] Day; 44, AMOUNT: USD24491
[PROFIT DEFICIT] Day; 52, AMOUNT: USD704
[PROFIT DEFICIT] Day; 53, AMOUNT: USD53861
[PROFIT DEFICIT] Day; 54, AMOUNT: USD6091
[PROFIT DEFICIT] Day; 59, AMOUNT: USD46448
[PROFIT DEFICIT] Day; 61, AMOUNT: USD44451
[PROFIT DEFICIT] Day; 62, AMOUNT: USD61975
[PROFIT DEFICIT] Day; 65, AMOUNT: USD39891
[PROFIT DEFICIT] Day; 71, AMOUNT: USD4820
[PROFIT DEFICIT] Day; 73, AMOUNT: USD15610
[PROFIT DEFICIT] Day; 75, AMOUNT: USD13757
[PROFIT DEFICIT] Day; 76, AMOUNT: USD31972
[PROFIT DEFICIT] Day; 77, AMOUNT: USD42732
[PROFIT DEFICIT] Day; 83, AMOUNT: USD25380
[PROFIT DEFICIT] Day; 85, AMOUNT: USD98225
[PROFIT DEFICIT] Day; 86, AMOUNT: USD22689
[PROFIT DEFICIT] Day; 90, AMOUNT: USD134278
